Pulsar,HabCat,Distance (arcmin),Pulsar period
J1801-0857B,29063,1.663271396102579,0.028962
J1841+0130,32024,0.8453103395365373,0.029773
B2127+11C,46899,1.2999723445739737,0.030529
J1400-6325,8070,1.93665310695741,0.031182
J2222-0137,50351,1.5219068685279693,0.032818
J1810-2005,29221,1.0373453337488798,0.032822
B1310+18,5892,0.707685973059223,0.033163
B0531+21,85908,0.76185924018521,0.033392
J1821+0155,30545,1.3329661104910764,0.033781
J0635+0533,91215,1.0197624164456602,0.033856
J1420-5625,10751,1.4040669199725218,0.034117
J1227-6208,2717,0.9854140502318802,0.034528
J1750-2536,27640,0.398558963511436,0.034749
J1840-0643,31246,2.141835547664084,0.035578
J1913+1011,34423,1.2944135373987442,0.035909
J0034+69,61227,0.2327735064391788,0.036804
B2127+11G,46899,1.300092301929696,0.03766
B1534+12,16681,0.7184327556878819,0.037904
J1849-0001,32608,0.35192882495049266,0.038519
J0348+0432,77410,0.28224601713462527,0.039123
B1951+32,38236,1.732296388836409,0.039531
J1518+4904,15756,0.8228509178400684,0.040935
J1829+2456,30711,1.0642007255751935,0.04101
J1434+7257,11852,0.2797372582361346,0.041741
J1932+17,36392,0.7232890014140365,0.04182
J1157-5112,118308,1.1808648234052839,0.043589
J1813-1749,29248,0.8554975477068361,0.044699
J1454-5846,13771,0.5741759277686737,0.045249
J0453+16,82283,1.2032675311638867,0.0458
J0141+63,66721,0.937168912860956,0.046686
B1259-63,5106,0.31328465677142886,0.047763
J1813-1246,29493,0.39680791044855684,0.048072
J2022+3842,41078,1.195533694126693,0.048579
B0540-69,86775,0.42041731739462945,0.050499
J2229+6114,51166,0.806373043620528,0.051624
J1747-2809,27527,1.1589387398345088,0.052153
J0609+2130,88595,1.0834775893034847,0.055698
B2127+11B,46899,1.2988541594937537,0.056133
B1913+16,35741,2.3684925067564233,0.05903
J1412+7922,10363,0.34485511364619775,0.059198
J2235+1506,52089,1.5260069010779487,0.059767
J1528-3146,15937,0.9379998659336451,0.060822
J1437-5959,11706,1.0378565112413543,0.061696
