Pulsar, RA, DEC, Distance (arc min)
J1732-5049,17:32:47.7,-50:49:00.1,0.005313
B0021-72D,00:24:13.8,-72:04:43.8,0.005358
B1855+09,18:57:36.3,+09:43:17.2,0.005362
J1911+0101B,19:11:12.5,+01:01:50.4,0.005384
J1824-2452E,18:24:32.8,-24:52:11.2,0.00542
B1820-30A,18:23:40.4,-30:21:40.1,0.00544
J1342+2822D,13:42:10.2,+28:22:36,0.005443
J1843-1448,18:43:01.3,-14:48:12.6,0.005471
J0711-6830,07:11:54.2,-68:30:47.5,0.005491
J1748-2446F,17:48:04.8,-24:46:45,0.00554
J1120-3618,11:20:22.4,-36:18:32.2,0.00555
B1516+02A,15:18:33.3,+02:05:27.5,0.005554
J0437-4715,04:37:15.8,-47:15:09.0,0.005757
B0021-72C,00:23:50.3,-72:04:31.4,0.005757
J1748-2446aa,17:48:04.8,-24:46:45,0.005788
J1719-1438,17:19:10.0,-14:38:00.9,0.00579
J1453+1902,14:53:45.7,+19:02:12.2,0.005792
J1803-3002C,18:03:34.1,-30:02:02,0.00584
J1738+0333,17:38:53.9,+03:33:10.8,0.00585
J1646-2142,16:46:18.1,-21:42:09.0,0.00585
J1824-2452G,18:24:32.8,-24:52:11.2,0.005909
J2033+1734,20:33:27.5,+17:34:58.6,0.005949
J1629-6902,16:29:08.7,-69:02:45.2,0.006001
J1750-3703B,17:50:12.1,-37:03:22.9,0.006075
J1904+0451,19:04:59.3,+04:51:54.9,0.006092
J1748-2446S,17:48:04.8,-24:46:45,0.006117
B1953+29,19:55:27.8,+29:08:43.4,0.006133
B1257+12,13:00:03.5,+12:40:56.4,0.006219
J1748-2021C,17:48:51.1,-20:21:53.8,0.006227
J1552-4937,15:52:13.2,-49:37:49.7,0.006284
J1824-2452B,18:24:32.8,-24:52:11.2,0.006547
B2127+11H,21:29:58.1,+12:09:59.4,0.006743
J2236-5527,22:36:51.8,-55:27:48.8,0.006908
