TRAPPIST-1,23:06:29.36,-05:02:29.2
HD 156668 b,+17:17:40.54,+29:13:36.12
HD 9446 b,+01:33:20.06,+29:15:55.01
HD 9446 c,+01:33:20.06,+29:15:55.01
omicron CrB b,+15:20:08.64,+29:36:58.72
WASP-12 b,06:30:32.794,+29:40:20.2
HD 190360 b,+20:03:36.95,+29:53:53.09
HD 190360 c,+20:03:36.95,+29:53:53.09
HAT-P-17 b,21:38:08.732,+30:29:19.4
KELT-6 b,13:03:55.648,+30:38:24.1
KELT-2 A b,+06:10:39.33,+30:57:25.73
HIP 57274 b,+11:44:40.98,+30:57:36.79
HIP 57274 c,+11:44:40.98,+30:57:36.79
HIP 57274 d,+11:44:40.98,+30:57:36.79
HD 1605 b,+00:20:31.46,+30:58:28.79
HD 1605 c,+00:20:31.46,+30:58:28.79
WASP-60 b,23:46:39.984,+31:09:21.4
WASP-10 b,23:15:58.299,+31:27:46.2
HD 67087 b,+08:07:39.77,+31:33:05.07
HD 22781 b,+03:40:49.50,+31:49:35.47
HD 180314 b,+19:14:50.18,+31:51:37.08
WASP-1 b,00:20:40.077,+31:59:23.7
HAT-P-38 b,02:21:31.920,+32:14:46.8
HD 13189 b,+02:09:40.17,+32:18:59.12
HAT-P-18 b,17:05:23.151,+33:00:44.9
HD 75898 b,+08:53:50.87,+33:03:24.77
rho CrB b,+16:01:02.80,+33:18:19.40
KELT-7 b,+05:13:10.92,+33:19:05.83
HD 155358 b,+17:09:34.77,+33:21:22.97
HD 155358 c,+17:09:34.77,+33:21:22.97
HAT-P-33 b,07:32:44.218,+33:50:06.1
WASP-13 b,09:20:24.702,+33:52:56.6
HD 5608 b,+00:58:14.19,+33:57:03.81
HD 87883 b,+10:08:43.18,+34:14:32.66
HD 187123 b,+19:46:58.01,+34:25:11.37
HD 187123 c,+19:46:58.01,+34:25:11.37
HD 178911 B b,+19:09:03.06,+34:35:57.73
HAT-P-19 b,00:38:04.012,+34:42:41.5
HAT-P-28 b,00:52:00.186,+34:43:42.2
HD 82886 b,+09:35:45.17,+34:46:50.98
HAT-P-8 b,22:52:09.862,+35:26:49.5
kappa CrB b,+15:51:13.94,+35:39:29.62
WASP-3 b,18:34:31.625,+35:39:41.5
HAT-P-4 b,15:19:57.92,+36:13:46.7
